Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk,Site_Prep_Actual_Cost,Site_Prep_Actual_Days,Foundations_Actual_Cost,Foundations_Actual_Days,Structure_Actual_Cost,Structure_Actual_Days,Systems_Actual_Cost,Systems_Actual_Days,Finishing_Actual_Cost,Finishing_Actual_Days,Actual_Cost_Total,Actual_Time_Total,Comp_High,Comp_Low,Comp_Medium
P0964,Highway Expansion,Road,Medium,1525893,69,72,36,0.66,0.66,539,Borderline,,,2376.53,416343.2,181,100.0,245945.94,101,92.51,415599.2,125,66.2,169075.7,63,38.45,278928.96,69,31.92,452160.69,253,265285.63,137,437483.85,151,173346.64,66,284176.58,70,1612453.39,677,False,False,True
P0965,Smart Solar Grid,Road,Medium,3255363,69,64,79,6.22,0.68,271,Feasible,,,5325.81,886111.62,84,100.0,482708.44,55,85.74,788960.75,68,53.63,384494.32,30,39.24,713087.87,34,35.86,1018486.03,117,547626.8,72,868595.32,77,417522.36,32,771823.63,35,3624054.14,333,False,False,True
P0966,Smart Solar Grid,Power Plant,High,6188957,79,92,28,5.85,0.53,279,Feasible,,,953.32,439509.2,31,73.7,728591.87,55,100.0,1006120.84,50,62.1,3178419.56,108,100.0,836315.53,35,100.0,501108.39,40,851055.25,80,1134739.85,62,3712655.58,157,976885.35,51,7176444.42,390,True,False,False
P0967,Industrial Complex,Water Infra,High,5381514,84,33,55,2.81,0.99,466,Feasible,,,2246.13,657909.72,94,36.79,1139432.89,108,45.46,2083720.37,122,23.64,1183583.19,88,26.32,316867.83,54,32.78,704438.23,102,1230217.74,122,2202786.96,123,1254490.55,90,337965.04,57,5729898.52,494,True,False,False
P0968,Highway Expansion,Bridge,High,6056861,84,70,92,9.1,0.52,599,Feasible,,,1232.34,442730.27,44,52.67,1266088.89,179,100.0,2806276.7,227,100.0,836562.5,70,48.64,705202.64,79,31.58,510231.36,52,1524728.67,260,3379549.87,329,960418.46,81,796439.02,83,7171367.38,805,True,False,False
P0969,Urban Flyover,Road,High,5148887,98,74,99,3.04,0.83,562,Not Feasible,,,12981.51,1160092.99,189,100.0,834914.82,111,98.13,1393668.21,128,60.17,727396.21,62,45.91,1032814.77,71,45.46,1334962.05,274,959134.16,160,1545675.55,156,795882.18,70,1129570.38,81,5765224.32,741,True,False,False
P0970,Highway Expansion,Road,High,2207094,88,79,55,4.5,0.69,215,Feasible,,,3594.39,521401.22,84,100.0,387190.68,33,96.74,544620.55,44,65.04,240210.9,24,48.2,513670.66,30,39.77,602858.39,122,446353.72,47,609692.04,55,264659.47,28,561400.28,33,2484963.9,285,True,False,False
P0971,Dam Reinforcement,Bridge,Medium,3221192,76,57,67,5.44,0.82,471,Feasible,,,505.55,264874.9,37,38.94,754516.91,150,97.21,1413776.33,174,90.72,437626.82,54,40.96,350397.04,56,17.17,284064.53,39,854563.75,207,1591767.79,234,470244.47,58,367908.4,52,3568548.94,590,False,False,True
P0972,Urban Flyover,Building,Medium,1668406,75,71,70,1.0,0.68,593,Feasible,,,599.45,100530.05,53,64.21,244317.59,88,100.0,463504.82,116,48.62,488814.03,147,75.26,371239.51,188,39.2,105795.14,63,265760.16,123,480634.4,129,519756.13,185,381501.1,199,1753446.93,699,False,False,True
P0973,Smart Solar Grid,Bridge,Medium,4668866,63,98,89,9.32,0.84,194,Not Feasible,,,756.92,277589.17,15,76.38,894924.66,44,100.0,2197463.84,82,100.0,754720.29,23,63.41,544168.04,30,42.72,319857.98,19,1053824.32,61,2587637.74,115,859163.5,27,607420.98,32,5427904.52,254,False,False,True
P0974,Urban Flyover,Bridge,High,5612338,66,30,93,3.75,0.86,485,Borderline,,,935.73,366679.08,47,24.46,1030927.39,142,50.36,2669008.4,194,46.8,726124.14,50,18.59,819599.0,53,9.79,390977.26,48,1127032.96,165,2907930.46,222,769804.86,49,861395.99,49,6057141.53,533,True,False,False
P0975,Dam Reinforcement,Water Infra,Low,3853406,67,68,99,0.81,0.85,201,Not Feasible,,,1838.26,497958.32,35,77.89,583665.08,44,91.28,1687647.07,67,45.39,871812.27,34,56.94,212323.26,21,68.51,520132.08,43,617228.7,58,1709645.94,71,892934.33,38,219847.93,25,3959788.98,235,False,True,False
P0976,Urban Flyover,Power Plant,Medium,2033255,94,46,87,3.87,0.56,247,Feasible,,,259.23,110463.45,40,36.7,252690.82,45,48.69,373249.48,44,29.2,1011832.5,87,63.16,285018.75,31,52.25,116422.05,42,269401.57,50,390537.3,44,1093630.93,104,304898.93,35,2174890.78,275,False,False,True
P0977,Smart Solar Grid,Road,Low,5989847,78,64,41,6.0,0.83,478,Feasible,,,12002.0,1526736.73,164,100.0,1044548.88,71,90.2,1502323.29,114,48.23,771811.24,66,36.02,1144426.86,63,38.64,1728578.29,222,1172106.73,92,1620884.99,122,823022.02,67,1223447.4,64,6568039.43,567,False,True,False
P0978,Dam Reinforcement,Power Plant,Medium,4052766,69,75,96,5.14,0.64,252,Feasible,,,510.83,309933.11,42,63.81,572508.63,44,83.36,670126.27,44,50.29,2013607.72,92,96.21,486590.28,30,81.32,339377.18,50,638418.45,57,724463.43,49,2272057.01,127,541587.04,39,4515903.11,322,False,False,True
P0979,Industrial Complex,Building,Low,1540677,76,71,99,6.95,0.51,519,Not Feasible,,,504.68,108512.85,32,62.53,186943.71,78,100.0,395827.71,106,54.32,531114.38,120,84.07,318278.35,183,29.9,118376.98,37,211129.26,106,428473.07,117,591139.91,152,336548.03,178,1685667.25,590,False,True,False
P0980,Highway Expansion,Road,Medium,6889345,67,68,25,0.55,0.71,258,Feasible,,,15014.65,1706566.9,87,100.0,1062018.34,44,94.42,1805911.93,65,61.86,829429.6,31,33.36,1485418.23,31,26.81,1874697.58,122,1160730.12,60,1915045.27,77,855946.05,32,1523189.91,31,7329608.93,322,False,False,True
P0981,Industrial Complex,Power Plant,Medium,4094235,53,78,45,2.85,0.72,365,Feasible,,,581.28,239482.24,45,56.38,455425.04,72,83.42,741574.65,70,51.4,2100268.03,120,100.0,557485.04,57,92.76,254748.12,52,496856.82,94,785127.79,79,2326402.77,168,613444.82,77,4476580.32,470,False,False,True
P0982,Dam Reinforcement,Building,Medium,6926986,50,91,94,8.19,0.73,410,Feasible,,,2436.44,334947.49,28,88.84,974573.76,53,100.0,1612978.5,104,70.94,2459916.0,114,100.0,1544570.25,111,37.66,387030.86,37,1137659.23,74,1833152.16,128,2871559.1,159,1700855.97,116,7930257.32,514,False,False,True
P0983,Dam Reinforcement,Water Infra,Low,2171459,99,67,22,0.8,0.85,231,Borderline,,,1140.64,272951.09,38,76.49,408184.32,54,94.19,913739.06,70,40.6,401265.16,36,62.37,175319.37,32,61.35,284508.62,47,432463.7,71,920675.56,72,412769.74,41,180172.76,37,2230590.38,268,False,True,False
P0984,Dam Reinforcement,Building,Low,6986126,50,52,71,8.55,0.65,322,Feasible,,,2678.28,353850.29,19,41.61,1269238.89,35,87.52,2124621.15,69,43.77,1832999.4,92,56.54,1405416.27,106,30.56,384911.7,20,1441507.94,45,2315915.58,72,2022482.07,103,1512567.18,104,7677384.47,344,False,True,False
P0985,Smart Solar Grid,Power Plant,Medium,3859653,75,51,93,0.92,0.66,289,Feasible,,,582.49,339961.82,30,41.87,508471.84,46,54.65,634033.62,49,37.99,1953197.04,116,65.43,423988.67,48,55.06,349973.09,32,529866.22,53,650274.06,51,2056183.88,140,442000.11,55,4028297.36,331,False,False,True
P0986,Dam Reinforcement,Bridge,Medium,2966197,94,33,79,8.34,0.53,206,Feasible,,,519.79,226480.92,12,27.13,769800.04,64,53.69,1300836.57,72,50.5,337989.47,33,18.6,331089.99,25,15.08,246735.92,12,860332.11,73,1449419.63,81,365159.15,31,356468.92,23,3278115.73,220,False,False,True
P0987,Highway Expansion,Road,Medium,1387952,69,78,82,3.61,0.84,238,Feasible,,,3147.0,288963.43,88,100.0,235398.76,37,92.79,389642.46,53,72.16,178989.94,26,48.88,294957.41,33,46.32,323267.95,123,261618.21,50,424866.96,66,190933.23,29,313870.8,36,1514557.15,304,False,False,True
P0988,Smart Solar Grid,Water Infra,Low,3209373,72,88,84,6.12,0.78,217,Not Feasible,,,1552.61,492271.71,39,100.0,568752.48,50,100.0,1233858.1,61,49.78,743233.43,40,77.39,171257.28,27,79.78,552221.8,53,638016.6,68,1320929.07,66,816609.0,49,188582.03,34,3516358.5,270,False,True,False
P0989,Dam Reinforcement,Power Plant,High,5147703,59,97,71,1.53,0.67,359,Feasible,,,579.39,289050.94,42,77.63,561445.02,64,100.0,853689.86,59,61.44,2899109.39,144,100.0,544407.79,50,100.0,317150.98,55,628813.6,93,922608.77,72,3246977.59,209,609732.04,73,5725282.98,502,True,False,False
P0990,Smart Solar Grid,Water Infra,Low,2030117,60,31,95,0.66,0.85,456,Feasible,,,977.98,206809.71,70,35.66,363362.65,113,42.03,835399.01,122,22.43,459455.18,86,22.75,165090.45,64,32.12,207068.75,70,366055.5,118,825760.24,114,454296.16,81,164732.23,63,2017912.88,446,False,True,False
P0991,Highway Expansion,Building,High,3896818,90,78,33,2.16,0.77,257,Not Feasible,,,1857.41,311827.79,28,67.64,585430.99,33,100.0,1016974.21,56,56.42,1217722.63,62,82.83,764862.37,78,39.84,341509.29,35,660588.88,48,1102070.6,67,1352606.66,84,815854.43,86,4272629.86,320,True,False,False
P0992,Highway Expansion,Power Plant,High,3357821,90,60,91,1.28,0.73,201,Borderline,,,517.41,175720.18,22,47.32,332286.7,35,61.84,576866.94,40,38.93,1857701.06,70,78.6,415246.12,35,73.31,186906.95,25,358340.96,43,608676.23,44,2034982.38,93,452642.33,45,3641548.85,250,True,False,False
P0993,Smart Solar Grid,Bridge,Medium,1525134,54,69,87,3.12,0.76,355,Not Feasible,,,300.81,92061.72,36,48.18,285074.16,102,100.0,731186.22,132,100.0,204304.33,39,50.35,212507.58,46,19.76,97397.84,40,316508.15,143,811811.2,184,216593.77,44,218729.19,44,1661040.15,455,False,False,True
P0994,Urban Flyover,Bridge,Low,6584263,50,77,47,5.14,0.82,255,Feasible,,,1155.96,496478.46,21,61.86,1394059.76,70,100.0,2965877.53,104,100.0,810408.31,28,44.92,917438.94,32,32.16,532454.33,24,1548776.55,95,3295039.22,141,855266.8,30,956398.49,32,7187935.39,322,False,True,False
P0995,Industrial Complex,Bridge,Low,1244761,66,80,90,5.89,0.83,401,Feasible,,,210.25,101279.71,28,58.84,252627.73,99,100.0,574194.08,173,100.0,182832.72,50,55.42,133826.76,51,33.11,108979.3,32,282400.16,134,641863.42,234,196096.78,56,140501.43,51,1369841.09,507,False,True,False
P0996,Dam Reinforcement,Bridge,High,3930098,71,72,29,7.9,0.64,122,Not Feasible,,,615.25,327990.84,13,58.05,974449.44,39,100.0,1585843.27,40,100.0,541620.81,15,53.5,500193.64,15,21.37,375519.53,16,1159889.52,57,1887633.06,58,617439.64,18,552822.73,15,4593304.48,164,True,False,False
P0997,Industrial Complex,Road,High,3971820,83,84,76,6.56,0.57,178,Not Feasible,,,9440.12,998969.71,60,100.0,608077.96,34,100.0,1048923.5,44,71.75,512871.45,19,52.91,802977.38,21,38.05,1184665.78,87,721112.11,49,1211959.61,57,582171.06,22,898612.43,23,4598520.99,238,True,False,False
P0998,Highway Expansion,Water Infra,High,6141913,94,78,85,6.09,0.58,235,Not Feasible,,,2831.57,880601.08,42,92.17,976672.43,56,100.0,2842992.89,65,44.19,1110849.65,42,60.02,330796.96,31,82.27,1025529.05,59,1145566.03,81,3165438.03,73,1255590.02,51,381747.01,42,6973870.14,306,True,False,False
P0999,Industrial Complex,Power Plant,Low,1064323,90,86,69,4.12,0.82,591,Feasible,,,151.6,73567.91,83,62.85,144549.42,95,99.14,195639.67,102,61.64,520670.91,200,100.0,129895.09,112,99.52,78127.76,96,158750.22,128,207529.18,117,572269.99,271,142705.54,151,1159382.69,763,False,True,False
P1000,Urban Flyover,Bridge,Low,2237715,78,44,33,4.74,0.94,250,Feasible,,,407.16,143407.96,21,32.48,495889.66,79,74.71,1010938.01,83,69.32,307046.84,40,30.37,280432.53,28,13.12,148863.85,21,535809.84,96,1086842.36,99,318076.93,39,285643.02,25,2375236.0,280,False,True,False
P1001,Industrial Complex,Road,Low,1954480,53,56,35,4.15,0.7,541,Borderline,,,2910.01,445530.34,180,99.31,357061.82,102,66.72,518779.8,119,48.39,199612.01,75,32.76,433496.02,66,32.82,490866.83,243,381733.32,120,545094.93,128,206610.46,74,448720.56,65,2073026.1,630,False,True,False
P1002,Industrial Complex,Bridge,Low,3332811,54,97,73,8.42,0.58,505,Feasible,,,598.67,226315.79,30,79.11,871107.21,149,100.0,1269054.69,184,100.0,516552.83,71,60.31,449780.48,72,29.9,254211.31,37,997421.2,202,1453072.64,249,570114.26,81,482180.86,70,3757000.27,639,False,True,False
P1003,Highway Expansion,Bridge,Low,1854016,60,93,62,2.3,0.88,520,Feasible,,,308.82,106686.17,50,63.13,412056.11,136,100.0,833680.94,191,100.0,235146.28,85,58.26,266446.51,58,43.02,111365.12,58,445044.82,184,900424.43,259,244334.73,96,272871.0,61,1974040.1,658,False,True,False
P1004,Highway Expansion,Building,Medium,6347417,70,59,61,0.06,0.92,320,Not Feasible,,,2097.78,297967.51,24,48.89,982144.37,46,97.03,1861415.01,63,49.85,1987266.23,73,59.75,1218623.88,113,39.48,306641.04,27,1057122.37,64,1917352.19,70,2066288.25,86,1242845.8,120,6590249.65,367,False,False,True
P1005,Dam Reinforcement,Power Plant,High,1864909,84,65,41,6.51,0.94,411,Feasible,,,236.65,185186.82,46,51.02,244584.62,69,70.61,307926.37,67,43.42,895083.68,152,85.14,232127.51,77,74.82,207821.4,54,279595.16,88,343064.08,75,1037095.2,207,266398.37,100,2133974.21,524,True,False,False
P1006,Smart Solar Grid,Water Infra,Low,6809701,61,96,87,2.02,0.8,461,Feasible,,,2703.85,768442.86,81,100.0,1119099.87,97,100.0,3085829.78,139,68.21,1160110.16,82,74.54,676218.33,62,88.3,829673.55,110,1208271.44,131,3235426.85,164,1223558.67,100,722334.82,80,7219265.33,585,False,True,False
P1007,Dam Reinforcement,Building,Medium,5982564,75,78,38,8.9,0.93,598,Feasible,,,1970.29,332701.38,38,71.56,960732.43,89,100.0,1722347.18,117,60.12,1503286.01,142,79.2,1463497.0,212,44.8,380640.2,47,1128336.64,124,1949482.23,137,1732156.41,182,1632557.76,231,6823173.24,721,False,False,True
P1008,Highway Expansion,Building,Medium,2050493,68,84,85,8.59,0.51,217,Feasible,,,718.01,136475.64,13,72.06,284435.61,29,100.0,534966.37,43,51.61,628704.1,66,100.0,465911.29,65,48.97,155573.85,16,332689.45,41,598196.09,48,735362.29,92,519671.24,72,2341492.92,269,False,False,True
P1009,Dam Reinforcement,Water Infra,Medium,1282762,94,85,58,0.77,0.55,335,Feasible,,,520.95,139860.35,55,99.89,206209.6,75,100.0,518841.38,114,53.27,331940.53,54,65.53,85910.14,38,87.78,151761.68,77,223779.26,105,539128.88,130,348934.76,65,92194.24,51,1355798.82,428,False,False,True
P1010,Industrial Complex,Bridge,Low,2605118,56,97,92,1.06,0.55,243,Not Feasible,,,439.72,190414.34,18,73.81,690635.64,58,100.0,1046364.19,95,100.0,288896.92,36,68.86,388806.91,36,33.09,198354.61,22,736981.98,79,1116582.33,129,299556.63,43,389661.35,36,2741136.9,309,False,True,False
P1011,Industrial Complex,Bridge,Low,3883427,96,73,38,4.95,0.86,192,Feasible,,,804.27,290892.13,18,54.14,828718.62,50,100.0,1662590.32,70,100.0,534510.07,25,45.96,566715.86,29,23.15,309034.41,20,918705.58,68,1843123.79,95,563439.82,27,584361.03,27,4218664.63,237,False,True,False
P1012,Highway Expansion,Power Plant,High,2416012,56,60,35,6.09,0.53,485,Feasible,,,298.3,223004.42,58,46.92,293124.83,82,66.17,412993.22,96,40.52,1211694.03,183,78.0,275195.51,65,68.4,248317.32,66,332398.54,103,457060.19,106,1389286.37,242,312719.72,82,2739782.14,599,True,False,False
P1013,Highway Expansion,Bridge,High,6752810,75,87,73,2.75,0.75,497,Feasible,,,1262.56,450343.59,46,60.61,1421670.44,120,100.0,3012370.63,200,100.0,1050902.5,73,56.24,817522.84,59,38.16,492499.25,56,1612491.71,174,3416700.9,290,1144539.82,87,875124.94,64,7541356.62,671,True,False,False
P1014,Dam Reinforcement,Building,Low,1571650,89,82,44,7.17,0.74,249,Borderline,,,507.74,130613.13,22,76.92,205377.58,39,100.0,434558.82,52,51.58,493686.79,67,97.73,307413.67,69,53.98,144713.46,27,232425.82,53,470142.54,57,557552.42,90,333345.2,76,1738179.44,303,False,True,False
P1015,Dam Reinforcement,Building,High,5476576,54,52,37,5.95,0.66,588,Feasible,,,2286.57,282722.02,52,44.02,749368.0,89,87.0,1370029.5,140,45.03,1664390.69,145,56.71,1410065.8,162,27.24,314150.24,59,866949.15,122,1523798.75,158,1871888.74,174,1541630.3,167,6118417.18,680,True,False,False
P1016,Industrial Complex,Building,Medium,1385925,70,57,42,3.25,0.94,537,Feasible,,,456.09,84173.49,30,55.94,186379.93,67,94.39,356747.93,106,40.49,475655.84,153,62.4,282967.8,181,31.79,89838.71,35,206167.49,92,375187.44,113,510775.22,182,295105.47,184,1477074.33,606,False,False,True
P1017,Smart Solar Grid,Water Infra,Medium,3863793,63,45,30,0.25,0.59,146,Feasible,,,1806.8,466710.64,25,53.58,707813.87,35,61.7,1660830.91,39,29.82,731932.01,25,35.39,296505.56,21,44.51,483219.45,28,738499.27,41,1680799.57,39,744738.65,26,304350.93,23,3951607.87,157,False,False,True
P1018,Smart Solar Grid,Bridge,Low,5909047,53,66,58,7.5,0.68,284,Borderline,,,1159.33,463444.45,24,45.41,1384340.79,76,100.0,2522594.17,112,100.0,738466.03,40,40.91,800201.56,33,28.05,500312.07,25,1572506.12,103,2865475.6,152,793780.35,41,849513.48,32,6581587.62,353,False,True,False
P1019,Highway Expansion,Bridge,Medium,4757974,72,50,87,2.15,0.89,574,Feasible,,,795.67,435585.73,46,39.94,910520.97,194,81.32,2092912.22,197,77.97,690393.2,67,35.93,628561.87,71,14.84,453133.89,49,984892.45,251,2256847.98,251,715437.23,70,638102.18,65,5048413.73,686,False,False,True
P1020,Dam Reinforcement,Bridge,Medium,1403081,91,46,44,8.34,0.52,525,Feasible,,,262.74,109707.99,58,31.7,257549.3,137,80.95,601005.02,187,73.06,221138.73,82,26.97,213679.96,61,17.31,120020.5,59,295209.09,177,683857.88,233,240816.54,81,230505.27,57,1570409.28,607,False,False,True
P1021,Smart Solar Grid,Bridge,High,3399105,69,66,82,4.2,0.84,187,Borderline,,,662.6,224562.35,16,47.68,846620.85,52,100.0,1530323.24,68,100.0,381771.0,26,47.22,415827.56,26,23.85,245865.19,18,973224.64,75,1759167.98,99,417803.73,30,444919.11,26,3840980.65,248,True,False,False
P1022,Dam Reinforcement,Power Plant,Low,1378892,64,48,49,5.77,0.91,133,Feasible,,,167.22,116948.15,17,36.69,190535.74,20,52.61,253384.7,24,31.83,620177.02,50,63.84,197846.39,22,55.03,123061.55,17,203574.81,22,265380.27,24,669687.33,58,211871.74,24,1473575.7,145,False,True,False
P1023,Urban Flyover,Power Plant,High,5199591,99,59,64,8.73,0.97,217,Not Feasible,,,782.02,274549.04,27,48.33,641202.35,41,64.48,805634.97,39,36.92,2915205.28,71,79.26,562999.36,39,66.01,313893.91,31,744384.91,51,911063.21,42,3431311.69,94,654536.89,49,6055190.61,267,True,False,False
P1024,Industrial Complex,Building,Medium,6500545,94,74,80,8.64,0.94,398,Feasible,,,2415.48,310238.94,23,67.93,826921.73,61,100.0,1801965.6,80,47.49,2092129.26,117,91.84,1469289.47,116,40.25,353051.0,28,969293.81,85,2011382.81,88,2434141.75,158,1628708.8,123,7396578.17,482,False,False,True
P1025,Dam Reinforcement,Building,Low,4154240,78,47,70,3.72,0.66,547,Not Feasible,,,1640.41,269695.19,54,45.63,461789.75,74,84.24,1233354.7,88,29.32,1396321.48,137,53.41,793078.88,194,22.41,281106.29,57,499101.69,94,1265487.12,86,1466230.27,151,808278.07,181,4320203.44,569,False,True,False
P1026,Dam Reinforcement,Water Infra,Low,1656702,57,91,28,2.09,0.79,592,Feasible,,,653.31,233424.52,93,100.0,319741.18,127,100.0,641585.51,168,60.76,313606.15,118,69.13,148344.63,85,86.12,251681.32,126,344749.05,172,667088.57,192,328644.91,140,157928.85,109,1750092.7,739,False,True,False
P1027,Dam Reinforcement,Road,Medium,4254600,90,65,95,7.75,0.54,568,Feasible,,,10420.31,905536.2,211,100.0,650312.55,98,84.52,1155432.62,124,51.94,598839.21,68,42.66,944479.42,68,37.01,1061154.64,295,751345.82,128,1294838.99,140,665170.71,73,1043411.5,71,4815921.66,707,False,False,True
P1028,Smart Solar Grid,Building,Medium,2985296,97,81,21,4.33,0.63,490,Not Feasible,,,995.9,136721.33,39,61.33,482724.51,66,100.0,687948.76,113,62.74,1015053.68,122,98.44,662847.72,149,50.84,148282.21,46,542618.22,92,747111.56,134,1139377.62,169,711791.34,167,3289180.95,608,False,False,True
P1029,Dam Reinforcement,Bridge,Low,3190222,68,48,24,1.92,0.55,366,Borderline,,,591.96,271752.93,35,35.04,763554.86,113,85.02,1259924.56,124,75.49,421182.57,51,29.61,473807.08,43,14.84,275228.1,35,810661.21,144,1325904.73,152,424330.79,50,470500.97,38,3306625.8,419,False,True,False
P1030,Urban Flyover,Building,Medium,4749783,97,73,81,9.04,0.66,231,Feasible,,,2073.0,286519.34,14,64.47,612408.37,35,100.0,1233133.82,39,60.98,1604675.1,63,78.29,1013046.36,80,34.74,326086.94,17,720244.31,49,1398825.17,46,1849987.2,80,1120744.44,83,5415888.06,275,False,False,True
P1031,Smart Solar Grid,Building,Medium,3719269,88,36,88,1.98,0.94,326,Not Feasible,,,1696.99,190668.12,24,30.99,467528.84,47,61.86,1075058.79,75,27.02,1227446.88,83,44.21,758566.37,97,15.92,196491.94,24,496235.55,56,1103629.55,74,1281158.2,90,770309.58,90,3847824.82,334,False,False,True
P1032,Highway Expansion,Power Plant,Low,6672354,95,73,71,0.26,0.67,471,Borderline,,,775.76,402354.43,64,62.83,713292.24,79,79.82,1245026.89,70,45.65,3392318.86,200,93.69,919361.58,58,83.01,411701.12,74,741529.31,98,1253356.25,74,3571908.83,264,958579.8,73,6937075.31,583,False,True,False
P1033,Highway Expansion,Bridge,Low,6205597,77,97,24,0.2,0.78,453,Feasible,,,1024.26,396381.3,30,76.86,1660343.09,133,100.0,2463470.64,173,100.0,792367.04,68,67.59,893034.94,49,29.86,410799.31,37,1757712.44,180,2607938.7,234,814119.58,80,885123.65,48,6475693.68,579,False,True,False
P1034,Industrial Complex,Water Infra,High,6284958,95,63,78,6.22,0.72,352,Borderline,,,3397.12,682235.69,64,77.16,1184963.17,89,82.8,2433858.54,99,37.01,1504118.23,57,57.0,479782.37,43,61.03,785000.38,84,1370592.38,120,2696084.44,107,1698291.26,68,543784.92,53,7093753.38,432,True,False,False
P1035,Urban Flyover,Water Infra,High,5802116,76,95,87,6.62,0.73,180,Feasible,,,3211.79,935753.56,37,100.0,1048712.53,38,100.0,2381394.53,53,58.3,1029849.13,29,83.08,406406.25,23,90.15,1103472.57,54,1236677.65,55,2701764.67,64,1195753.09,39,474956.69,32,6712624.67,244,True,False,False
P1036,Dam Reinforcement,Water Infra,High,3324797,53,98,28,3.11,0.98,204,Feasible,,,1423.1,374518.39,40,100.0,547871.23,46,100.0,1398489.8,54,55.82,710762.25,41,91.17,293155.32,23,99.18,426344.13,58,623685.49,67,1528071.39,64,802622.31,57,333473.29,33,3714196.61,279,True,False,False
P1037,Urban Flyover,Building,Medium,1786667,64,84,41,3.2,0.65,302,Not Feasible,,,566.36,93145.07,28,79.27,236387.79,37,100.0,442019.71,60,61.4,570466.86,74,100.0,444647.57,104,34.03,101572.56,36,262726.66,52,474031.44,71,634029.59,103,464553.23,107,1936913.48,369,False,False,True
P1038,Highway Expansion,Water Infra,High,2353649,84,39,46,3.39,0.81,358,Borderline,,,1099.18,283273.36,63,45.37,459392.57,77,52.87,998231.4,103,20.11,388163.45,74,36.07,224588.21,40,40.58,307190.28,71,501753.52,91,1056355.11,102,417191.49,80,242434.34,44,2524924.74,388,True,False,False
P1039,Dam Reinforcement,Water Infra,High,6370189,86,71,29,6.8,0.71,369,Feasible,,,2649.19,857596.05,66,84.67,1220605.64,81,95.81,2767512.52,114,50.03,1110793.42,59,51.57,413681.38,48,72.92,998335.98,90,1435512.43,116,3118800.72,132,1253625.48,69,476353.81,62,7282628.42,469,True,False,False
P1040,Urban Flyover,Water Infra,Medium,6572468,50,70,99,0.58,0.53,190,Feasible,,,2991.04,959256.86,36,87.16,1072885.43,42,94.43,2578227.29,59,43.01,1353836.8,33,52.57,608261.63,19,72.82,1029432.54,48,1159073.17,57,2654478.35,64,1406652.48,37,644149.68,24,6893786.22,230,False,False,True
P1041,Smart Solar Grid,Power Plant,Medium,2712503,52,98,80,9.29,0.74,347,Not Feasible,,,317.24,223610.52,39,80.85,323658.04,62,100.0,465242.16,51,63.32,1340784.61,141,100.0,359207.68,54,100.0,258545.31,50,380853.63,87,529202.71,61,1577722.83,197,422685.46,75,3169009.94,470,False,False,True
P1042,Dam Reinforcement,Bridge,Medium,3985418,96,39,70,2.23,0.91,204,Feasible,,,618.54,220030.0,17,29.65,728118.78,60,66.16,1917606.68,77,58.17,481906.03,22,26.87,637756.51,27,14.16,226766.69,17,777020.28,72,2031059.82,90,495319.66,22,647394.66,25,4177561.11,226,False,False,True
P1043,Smart Solar Grid,Power Plant,High,4609736,73,39,29,10.0,0.55,425,Feasible,,,603.58,383306.75,53,32.66,651991.12,77,41.76,924658.14,62,24.83,2142148.38,168,50.14,507631.6,65,45.61,436651.17,56,749273.13,86,1045355.07,63,2481575.85,195,585530.04,74,5298385.26,474,True,False,False
P1044,Urban Flyover,Bridge,High,2384418,76,89,25,1.72,0.53,515,Feasible,,,392.82,210563.51,41,68.68,475520.74,150,100.0,989274.6,188,100.0,376449.38,61,59.51,332609.77,76,38.91,229500.57,52,533476.3,218,1109845.5,273,406784.72,74,352424.35,83,2632031.44,700,True,False,False
P1045,Dam Reinforcement,Power Plant,Low,1386594,89,80,81,7.72,0.58,582,Feasible,,,170.06,96177.87,84,67.62,171781.33,102,82.23,239003.47,108,51.69,711206.66,202,100.0,168424.67,86,92.25,106146.83,99,192181.11,128,259840.67,118,808730.22,274,190170.41,113,1557069.24,732,False,True,False
P1046,Industrial Complex,Bridge,High,3869760,85,50,24,2.23,0.88,390,Feasible,,,792.28,246076.18,36,40.27,954053.11,102,83.78,1688713.89,142,76.82,517287.61,52,30.0,463629.21,58,19.12,262490.76,40,1060259.22,138,1864651.01,187,546345.88,54,484500.79,57,4218247.66,476,True,False,False
P1047,Industrial Complex,Water Infra,High,4806503,83,37,89,0.81,0.86,520,Feasible,,,2358.11,558586.57,90,44.48,814574.65,119,50.62,2026768.33,164,24.99,1035042.69,79,28.41,371530.76,68,36.5,590871.72,102,866720.65,139,2103905.97,167,1078020.8,82,390001.85,74,5029520.99,564,True,False,False
